2021-05-14T20:56:25 b(0,0); c(0,0); b(1,0); c(1,0); b(2,0); c(2,0); b(3,0); c(3,0); b(4,0); c(4,0); b(5,0); c(5,0); b(6,0); c(6,0); b(7,0); c(7,0); b(8,0); c(8,0); b(9,0); c(9,0); b(10,0); c(10,0); b(11,0); c(11,0); b(12,0); c(12,0); b(13,0); c(13,0); b(14,0); c(14,0); b(15,0); c(15,0); b(16,0); c(16,0); b(17,0); c(17,0); b(18,0); c(18,0); b(19,0); c(19,0); b(20,0); c(20,0); b(21,0); c(21,0); b(22,0); c(22,0); b(23,0); c(23,0); b(24,0); c(24,0); b(25,0); c(25,0); b(26,0); c(26,0); b(27,0); c(27,0); b(28,0); c(28,0); b(29,0); c(29,0); b(30,0); c(30,0); b(31,0); c(31,0); b(32,0); c(32,0); b(33,0); c(33,0); b(34,0); c(34,0); b(35,0); c(35,0); b(36,0); c(36,0); b(37,0); c(37,0); b(38,0); c(38,0); b(39,0); c(39,0); b(40,0); c(40,0); b(41,0); c(41,0); b(42,0); c(42,0); b(43,0); c(43,0); b(44,0); c(44,0); b(45,0); c(45,0); b(46,0); c(46,0); b(47,0); c(47,0); b(48,0); c(48,0); b(49,0); c(49,0);
2021-05-14T20:56:26 b(50,0); c(50,0); b(51,0); c(51,0); b(52,0); c(52,0); b(53,0); c(53,0); b(54,0); c(54,0); b(55,0); c(55,0); b(56,0); c(56,0); b(57,0); c(57,0); b(58,0); c(58,0); b(59,0); c(59,0); b(60,0); c(60,0); b(61,0); c(61,0); b(62,0); c(62,0); b(63,0); c(63,0); b(64,0); c(64,0); b(65,0); c(65,0); b(66,0); c(66,0); b(67,0); c(67,0); b(68,0); c(68,0); b(69,0); c(69,0); b(70,0); c(70,0); b(71,0); c(71,0); b(72,0); c(72,0); b(73,0); c(73,0); b(74,0); c(74,0); b(75,0); c(75,0); b(76,0); c(76,0); b(77,0); c(77,0); b(78,0); c(78,0); b(79,0); c(79,0); b(80,0); c(80,0); b(81,0); c(81,0); b(82,0); c(82,0); b(83,0); c(83,0); b(84,0); c(84,0); b(85,0); c(85,0); b(86,0); c(86,0); b(87,0); c(87,0); b(88,0); c(88,0); b(89,0); c(89,0); b(90,0); c(90,0); b(91,0); c(91,0); b(92,0); c(92,0); b(93,0); c(93,0); b(94,0); c(94,0); b(95,0); c(95,0); b(96,0); c(96,0); b(97,0); c(97,0); b(98,0); c(98,0); b(99,0); c(99,0);
2021-05-14T20:56:27 b(0,0); c(0,0); b(1,0); c(1,0); b(2,0); c(2,0); b(3,0); c(3,0); b(4,0); c(4,0); b(5,0); c(5,0); b(6,0); c(6,0); b(7,0); c(7,0); b(8,0); c(8,0); b(9,0); c(9,0); b(10,0); c(10,0); b(11,0); c(11,0); b(12,0); c(12,0); b(13,0); c(13,0); b(14,0); c(14,0); b(15,0); c(15,0); b(16,0); c(16,0); b(17,0); c(17,0); b(18,0); c(18,0); b(19,0); c(19,0); b(20,0); c(20,0); b(21,0); c(21,0); b(22,0); c(22,0); b(23,0); c(23,0); b(24,0); c(24,0); b(25,0); c(25,0); b(26,0); c(26,0); b(27,0); c(27,0); b(28,0); c(28,0); b(29,0); c(29,0); b(30,0); c(30,0); b(31,0); c(31,0); b(32,0); c(32,0); b(33,0); c(33,0); b(34,0); c(34,0); b(35,0); c(35,0); b(36,0); c(36,0); b(37,0); c(37,0); b(38,0); c(38,0); b(39,0); c(39,0); b(40,0); c(40,0); b(41,0); c(41,0); b(42,0); c(42,0); b(43,0); c(43,0); b(44,0); c(44,0); b(45,0); c(45,0); b(46,0); c(46,0); b(47,0); c(47,0); b(48,0); c(48,0); b(49,0); c(49,0);
2021-05-14T20:56:28 b(50,0); c(50,0); b(51,0); c(51,0); b(52,0); c(52,0); b(53,0); c(53,0); b(54,0); c(54,0); b(55,0); c(55,0); b(56,0); c(56,0); b(57,0); c(57,0); b(58,0); c(58,0); b(59,0); c(59,0); b(60,0); c(60,0); b(61,0); c(61,0); b(62,0); c(62,0); b(63,0); c(63,0); b(64,0); c(64,0); b(65,0); c(65,0); b(66,0); c(66,0); b(67,0); c(67,0); b(68,0); c(68,0); b(69,0); c(69,0); b(70,0); c(70,0); b(71,0); c(71,0); b(72,0); c(72,0); b(73,0); c(73,0); b(74,0); c(74,0); b(75,0); c(75,0); b(76,0); c(76,0); b(77,0); c(77,0); b(78,0); c(78,0); b(79,0); c(79,0); b(80,0); c(80,0); b(81,0); c(81,0); b(82,0); c(82,0); b(83,0); c(83,0); b(84,0); c(84,0); b(85,0); c(85,0); b(86,0); c(86,0); b(87,0); c(87,0); b(88,0); c(88,0); b(89,0); c(89,0); b(90,0); c(90,0); b(91,0); c(91,0); b(92,0); c(92,0); b(93,0); c(93,0); b(94,0); c(94,0); b(95,0); c(95,0); b(96,0); c(96,0); b(97,0); c(97,0); b(98,0); c(98,0); b(99,0); c(99,0);
2021-05-14T20:56:29 b(0,0); c(0,0); b(1,0); c(1,0); b(2,0); c(2,0); b(3,0); c(3,0); b(4,0); c(4,0); b(5,0); c(5,0); b(6,0); c(6,0); b(7,0); c(7,0); b(8,0); c(8,0); b(9,0); c(9,0); b(10,0); c(10,0); b(11,0); c(11,0); b(12,0); c(12,0); b(13,0); c(13,0); b(14,0); c(14,0); b(15,0); c(15,0); b(16,0); c(16,0); b(17,0); c(17,0); b(18,0); c(18,0); b(19,0); c(19,0); b(20,0); c(20,0); b(21,0); c(21,0); b(22,0); c(22,0); b(23,0); c(23,0); b(24,0); c(24,0); b(25,0); c(25,0); b(26,0); c(26,0); b(27,0); c(27,0); b(28,0); c(28,0); b(29,0); c(29,0); b(30,0); c(30,0); b(31,0); c(31,0); b(32,0); c(32,0); b(33,0); c(33,0); b(34,0); c(34,0); b(35,0); c(35,0); b(36,0); c(36,0); b(37,0); c(37,0); b(38,0); c(38,0); b(39,0); c(39,0); b(40,0); c(40,0); b(41,0); c(41,0); b(42,0); c(42,0); b(43,0); c(43,0); b(44,0); c(44,0); b(45,0); c(45,0); b(46,0); c(46,0); b(47,0); c(47,0); b(48,0); c(48,0); b(49,0); c(49,0);
2021-05-14T20:56:30 b(50,0); c(50,0); b(51,0); c(51,0); b(52,0); c(52,0); b(53,0); c(53,0); b(54,0); c(54,0); b(55,0); c(55,0); b(56,0); c(56,0); b(57,0); c(57,0); b(58,0); c(58,0); b(59,0); c(59,0); b(60,0); c(60,0); b(61,0); c(61,0); b(62,0); c(62,0); b(63,0); c(63,0); b(64,0); c(64,0); b(65,0); c(65,0); b(66,0); c(66,0); b(67,0); c(67,0); b(68,0); c(68,0); b(69,0); c(69,0); b(70,0); c(70,0); b(71,0); c(71,0); b(72,0); c(72,0); b(73,0); c(73,0); b(74,0); c(74,0); b(75,0); c(75,0); b(76,0); c(76,0); b(77,0); c(77,0); b(78,0); c(78,0); b(79,0); c(79,0); b(80,0); c(80,0); b(81,0); c(81,0); b(82,0); c(82,0); b(83,0); c(83,0); b(84,0); c(84,0); b(85,0); c(85,0); b(86,0); c(86,0); b(87,0); c(87,0); b(88,0); c(88,0); b(89,0); c(89,0); b(90,0); c(90,0); b(91,0); c(91,0); b(92,0); c(92,0); b(93,0); c(93,0); b(94,0); c(94,0); b(95,0); c(95,0); b(96,0); c(96,0); b(97,0); c(97,0); b(98,0); c(98,0); b(99,0); c(99,0);
2021-05-14T20:56:31 b(0,0); c(0,0); b(1,0); c(1,0); b(2,0); c(2,0); b(3,0); c(3,0); b(4,0); c(4,0); b(5,0); c(5,0); b(6,0); c(6,0); b(7,0); c(7,0); b(8,0); c(8,0); b(9,0); c(9,0); b(10,0); c(10,0); b(11,0); c(11,0); b(12,0); c(12,0); b(13,0); c(13,0); b(14,0); c(14,0); b(15,0); c(15,0); b(16,0); c(16,0); b(17,0); c(17,0); b(18,0); c(18,0); b(19,0); c(19,0); b(20,0); c(20,0); b(21,0); c(21,0); b(22,0); c(22,0); b(23,0); c(23,0); b(24,0); c(24,0); b(25,0); c(25,0); b(26,0); c(26,0); b(27,0); c(27,0); b(28,0); c(28,0); b(29,0); c(29,0); b(30,0); c(30,0); b(31,0); c(31,0); b(32,0); c(32,0); b(33,0); c(33,0); b(34,0); c(34,0); b(35,0); c(35,0); b(36,0); c(36,0); b(37,0); c(37,0); b(38,0); c(38,0); b(39,0); c(39,0); b(40,0); c(40,0); b(41,0); c(41,0); b(42,0); c(42,0); b(43,0); c(43,0); b(44,0); c(44,0); b(45,0); c(45,0); b(46,0); c(46,0); b(47,0); c(47,0); b(48,0); c(48,0); b(49,0); c(49,0);
2021-05-14T20:56:32 b(50,0); c(50,0); b(51,0); c(51,0); b(52,0); c(52,0); b(53,0); c(53,0); b(54,0); c(54,0); b(55,0); c(55,0); b(56,0); c(56,0); b(57,0); c(57,0); b(58,0); c(58,0); b(59,0); c(59,0); b(60,0); c(60,0); b(61,0); c(61,0); b(62,0); c(62,0); b(63,0); c(63,0); b(64,0); c(64,0); b(65,0); c(65,0); b(66,0); c(66,0); b(67,0); c(67,0); b(68,0); c(68,0); b(69,0); c(69,0); b(70,0); c(70,0); b(71,0); c(71,0); b(72,0); c(72,0); b(73,0); c(73,0); b(74,0); c(74,0); b(75,0); c(75,0); b(76,0); c(76,0); b(77,0); c(77,0); b(78,0); c(78,0); b(79,0); c(79,0); b(80,0); c(80,0); b(81,0); c(81,0); b(82,0); c(82,0); b(83,0); c(83,0); b(84,0); c(84,0); b(85,0); c(85,0); b(86,0); c(86,0); b(87,0); c(87,0); b(88,0); c(88,0); b(89,0); c(89,0); b(90,0); c(90,0); b(91,0); c(91,0); b(92,0); c(92,0); b(93,0); c(93,0); b(94,0); c(94,0); b(95,0); c(95,0); b(96,0); c(96,0); b(97,0); c(97,0); b(98,0); c(98,0); b(99,0); c(99,0);
2021-05-14T20:56:33 b(0,0); c(0,0); b(1,0); c(1,0); b(2,0); c(2,0); b(3,0); c(3,0); b(4,0); c(4,0); b(5,0); c(5,0); b(6,0); c(6,0); b(7,0); c(7,0); b(8,0); c(8,0); b(9,0); c(9,0); b(10,0); c(10,0); b(11,0); c(11,0); b(12,0); c(12,0); b(13,0); c(13,0); b(14,0); c(14,0); b(15,0); c(15,0); b(16,0); c(16,0); b(17,0); c(17,0); b(18,0); c(18,0); b(19,0); c(19,0); b(20,0); c(20,0); b(21,0); c(21,0); b(22,0); c(22,0); b(23,0); c(23,0); b(24,0); c(24,0); b(25,0); c(25,0); b(26,0); c(26,0); b(27,0); c(27,0); b(28,0); c(28,0); b(29,0); c(29,0); b(30,0); c(30,0); b(31,0); c(31,0); b(32,0); c(32,0); b(33,0); c(33,0); b(34,0); c(34,0); b(35,0); c(35,0); b(36,0); c(36,0); b(37,0); c(37,0); b(38,0); c(38,0); b(39,0); c(39,0); b(40,0); c(40,0); b(41,0); c(41,0); b(42,0); c(42,0); b(43,0); c(43,0); b(44,0); c(44,0); b(45,0); c(45,0); b(46,0); c(46,0); b(47,0); c(47,0); b(48,0); c(48,0); b(49,0); c(49,0);
2021-05-14T20:56:34 b(50,0); c(50,0); b(51,0); c(51,0); b(52,0); c(52,0); b(53,0); c(53,0); b(54,0); c(54,0); b(55,0); c(55,0); b(56,0); c(56,0); b(57,0); c(57,0); b(58,0); c(58,0); b(59,0); c(59,0); b(60,0); c(60,0); b(61,0); c(61,0); b(62,0); c(62,0); b(63,0); c(63,0); b(64,0); c(64,0); b(65,0); c(65,0); b(66,0); c(66,0); b(67,0); c(67,0); b(68,0); c(68,0); b(69,0); c(69,0); b(70,0); c(70,0); b(71,0); c(71,0); b(72,0); c(72,0); b(73,0); c(73,0); b(74,0); c(74,0); b(75,0); c(75,0); b(76,0); c(76,0); b(77,0); c(77,0); b(78,0); c(78,0); b(79,0); c(79,0); b(80,0); c(80,0); b(81,0); c(81,0); b(82,0); c(82,0); b(83,0); c(83,0); b(84,0); c(84,0); b(85,0); c(85,0); b(86,0); c(86,0); b(87,0); c(87,0); b(88,0); c(88,0); b(89,0); c(89,0); b(90,0); c(90,0); b(91,0); c(91,0); b(92,0); c(92,0); b(93,0); c(93,0); b(94,0); c(94,0); b(95,0); c(95,0); b(96,0); c(96,0); b(97,0); c(97,0); b(98,0); c(98,0); b(99,0); c(99,0);
2021-05-14T20:56:35 b(0,0); c(0,0); b(1,0); c(1,0); b(2,0); c(2,0); b(3,0); c(3,0); b(4,0); c(4,0); b(5,0); c(5,0); b(6,0); c(6,0); b(7,0); c(7,0); b(8,0); c(8,0); b(9,0); c(9,0); b(10,0); c(10,0); b(11,0); c(11,0); b(12,0); c(12,0); b(13,0); c(13,0); b(14,0); c(14,0); b(15,0); c(15,0); b(16,0); c(16,0); b(17,0); c(17,0); b(18,0); c(18,0); b(19,0); c(19,0); b(20,0); c(20,0); b(21,0); c(21,0); b(22,0); c(22,0); b(23,0); c(23,0); b(24,0); c(24,0); b(25,0); c(25,0); b(26,0); c(26,0); b(27,0); c(27,0); b(28,0); c(28,0); b(29,0); c(29,0); b(30,0); c(30,0); b(31,0); c(31,0); b(32,0); c(32,0); b(33,0); c(33,0); b(34,0); c(34,0); b(35,0); c(35,0); b(36,0); c(36,0); b(37,0); c(37,0); b(38,0); c(38,0); b(39,0); c(39,0); b(40,0); c(40,0); b(41,0); c(41,0); b(42,0); c(42,0); b(43,0); c(43,0); b(44,0); c(44,0); b(45,0); c(45,0); b(46,0); c(46,0); b(47,0); c(47,0); b(48,0); c(48,0); b(49,0); c(49,0);
